"id","site_id","cctv_name","site_name_cctv","cctv_flusonic","cctv_alias","address","province_id","province_name","city_id","city_name","district_id","district_name","subdistrict_id","subdistrict_name","longitude","latitude","rtsp","rtmp","hls","status_cctvline","description","image1","image2","is_enabled","view_count","created_at","updated_at","deleted_at"
55,"700034","Cikini-004-700034_3","Cikini-004","Cikini-004","Cikini 004","Jl. Cikini Raya (depan hotel mega cikini) - kel. cikini - kec. menteng - jakarta pusat",NULL,"DKI JAKARTA",NULL,"JAKARTA PUSAT",NULL,"CIKINI",NULL,"MENTENG","106.8395299","-6.193537532","rtsp://cctv.molecool.id:554/Cikini-004","rtmp://cctv.molecool.id:1935/static/Cikini-004","https://cctv.molecool.id/Cikini-004/index.m3u8",NULL,"MENTENG , CIKINI , JAKARTA PUSAT , DKI JAKARTA","https://cctv.molecool.id/Cikini-004/preview.jpg","https://cctv.molecool.id/Cikini-004/preview.jpg",1,0,"2018-11-21 15:54:21","2019-08-20 07:35:20",NULL
56,"705146","Cilandak-Barat-006-705146_2","Cilandak Barat-006","Cilandak-Barat-001","Cilandak Barat 001","Jl. Pangeran Antasari",NULL,"DKI JAKARTA",NULL,"JAKARTA SELATAN",NULL,"CILANDAK BARAT",NULL,"CILANDAK","106.8072202","-6.282761488","rtsp://cctv.molecool.id:554/Cilandak-Barat-001","rtmp://cctv.molecool.id:1935/static/Cilandak-Barat-001","https://cctv.molecool.id/Cilandak-Barat-001/index.m3u8",NULL,"CILANDAK , CILANDAK BARAT , JAKARTA SELATAN , DKI JAKARTA","https://cctv.molecool.id/Cilandak-Barat-001/preview.jpg","https://cctv.molecool.id/Cilandak-Barat-001/preview.jpg",1,1,"2018-11-21 15:54:21","2023-11-13 08:35:43",NULL
57,"705146","Cilandak-Barat-006-705146_3","Cilandak Barat-006","Cilandak-Barat-002","Cilandak Barat 002","Jl. Pangeran Antasari",NULL,"DKI JAKARTA",NULL,"JAKARTA SELATAN",NULL,"CILANDAK BARAT",NULL,"CILANDAK","106.8072202","-6.282761488","rtsp://cctv.molecool.id:554/Cilandak-Barat-002","rtmp://cctv.molecool.id:1935/static/Cilandak-Barat-002","https://cctv.molecool.id/Cilandak-Barat-002/index.m3u8",NULL,"CILANDAK , CILANDAK BARAT , JAKARTA SELATAN , DKI JAKARTA","https://cctv.molecool.id/Cilandak-Barat-002/preview.jpg","https://cctv.molecool.id/Cilandak-Barat-002/preview.jpg",1,0,"2018-11-21 15:54:21","2019-08-20 07:35:20",NULL
58,"705475","Cilandak-Timur-008-705475_2","Cilandak Timur-008","Cilandak-Timur-001","Cilandak Timur 001","Jl. Cilandak Kko, Sebrang Apotik Citra Graha Medika Depan Bank Mandiri, Ragunan",NULL,"DKI JAKARTA",NULL,"JAKARTA SELATAN",NULL,"CILANDAK TIMUR",NULL,"PASAR MINGGU","106.813601","-6.310693","rtsp://cctv.molecool.id:554/Cilandak-Barat-003","rtmp://cctv.molecool.id:1935/static/Cilandak-Barat-003","https://cctv.molecool.id/Cilandak-Barat-003/index.m3u8",NULL,"PASAR MINGGU , CILANDAK TIMUR , JAKARTA SELATAN , DKI JAKARTA","https://cctv.molecool.id/Cilandak-Barat-003/preview.jpg","https://cctv.molecool.id/Cilandak-Barat-003/preview.jpg",1,1,"2018-11-21 15:54:21","2021-11-18 05:23:07",NULL
59,"705475","Cilandak-Timur-008-705475_4","Cilandak Timur-008","Cilandak-Timur-002","Cilandak Timur 002","Jl. Cilandak Kko, Sebrang Apotik Citra Graha Medika Depan Bank Mandiri, Ragunan",NULL,"DKI JAKARTA",NULL,"JAKARTA SELATAN",NULL,"CILANDAK TIMUR",NULL,"PASAR MINGGU","106.813601","-6.310693","rtsp://cctv.molecool.id:554/Cilandak-Barat-004","rtmp://cctv.molecool.id:1935/static/Cilandak-Barat-004","https://cctv.molecool.id/Cilandak-Barat-004/index.m3u8",NULL,"PASAR MINGGU , CILANDAK TIMUR , JAKARTA SELATAN , DKI JAKARTA","https://cctv.molecool.id/Cilandak-Barat-004/preview.jpg","https://cctv.molecool.id/Cilandak-Barat-004/preview.jpg",1,0,"2018-11-21 15:54:21","2019-08-20 07:35:20",NULL
60,"704709","Cilangkap-013-704709_4","Cilangkap-013","Cilangkap-001","Cilangkap 001","Jl. Prapatan Kencur",NULL,"DKI JAKARTA",NULL,"JAKARTA TIMUR",NULL,"CILANGKAP",NULL,"CIPAYUNG","106.9066076","-6.32401611","rtsp://cctv.molecool.id:554/Cilangkap-001","rtmp://cctv.molecool.id:1935/static/Cilangkap-001","https://cctv.molecool.id/Cilangkap-001/index.m3u8",NULL,"CIPAYUNG , CILANGKAP , JAKARTA TIMUR , DKI JAKARTA","https://cctv.molecool.id/Cilangkap-001/preview.jpg","https://cctv.molecool.id/Cilangkap-001/preview.jpg",1,0,"2018-11-21 15:54:21","2019-08-20 07:35:20",NULL
61,"704110","Cililitan-006-704110_2","Cililitan-006","Cililitan-001","Cililitan 001","Jl. Cililitan Besar",NULL,"DKI JAKARTA",NULL,"JAKARTA TIMUR",NULL,"CILILITAN",NULL,"KRAMATJATI","106.872308","-6.264695","rtsp://cctv.molecool.id:554/Cililitan-001","rtmp://cctv.molecool.id:1935/static/Cililitan-001","https://cctv.molecool.id/Cililitan-001/index.m3u8",NULL,"KRAMATJATI , CILILITAN , JAKARTA TIMUR , DKI JAKARTA","https://cctv.molecool.id/Cililitan-001/preview.jpg","https://cctv.molecool.id/Cililitan-001/preview.jpg",1,1,"2018-11-21 15:54:21","2021-11-12 02:16:15",NULL
62,"704713","Cipayung-018-704713_2","Cipayung-018","Cipayung-001","Cipayung 001","Jl. Damai PBSI",NULL,"DKI JAKARTA",NULL,"JAKARTA TIMUR",NULL,"CIPAYUNG",NULL,"CIPAYUNG","106.8917215","-6.33295214","rtsp://cctv.molecool.id:554/Cipayung-001","rtmp://cctv.molecool.id:1935/static/Cipayung-001","https://cctv.molecool.id/Cipayung-001/index.m3u8",NULL,"CIPAYUNG , CIPAYUNG , JAKARTA TIMUR , DKI JAKARTA","https://cctv.molecool.id/Cipayung-001/preview.jpg","https://cctv.molecool.id/Cipayung-001/preview.jpg",1,0,"2018-11-21 15:54:21","2019-08-20 07:35:20",NULL
63,"705173","Cipedak-006-705173_2","Cipedak-006","Cipedak-001","Cipedak 001","Jl. Moh Kahfi I, Samping SPBU, Cipedak",NULL,"DKI JAKARTA",NULL,"JAKARTA SELATAN",NULL,"CIPEDAK",NULL,"JAGAKARSA","106.8017276","-6.35015264","rtsp://cctv.molecool.id:554/Cipedak-001","rtmp://cctv.molecool.id:1935/static/Cipedak-001","https://cctv.molecool.id/Cipedak-001/index.m3u8",NULL,"JAGAKARSA , CIPEDAK , JAKARTA SELATAN , DKI JAKARTA","https://cctv.molecool.id/Cipedak-001/preview.jpg","https://cctv.molecool.id/Cipedak-001/preview.jpg",1,53,"2018-11-21 15:54:21","2022-06-10 03:12:41",NULL
64,"705173","Cipedak-006-705173_3","Cipedak-006","Cipedak-002","Cipedak 002","Jl. Moh Kahfi I, Samping SPBU, Cipedak",NULL,"DKI JAKARTA",NULL,"JAKARTA SELATAN",NULL,"CIPEDAK",NULL,"JAGAKARSA","106.8017276","-6.35015264","rtsp://cctv.molecool.id:554/Cipedak-002","rtmp://cctv.molecool.id:1935/static/Cipedak-002","https://cctv.molecool.id/Cipedak-002/index.m3u8",NULL,"JAGAKARSA , CIPEDAK , JAKARTA SELATAN , DKI JAKARTA","https://cctv.molecool.id/Cipedak-002/preview.jpg","https://cctv.molecool.id/Cipedak-002/preview.jpg",1,11,"2018-11-21 15:54:21","2022-06-10 03:01:59",NULL
65,"705534","Cipedak-007-705534_4","Cipedak-007","Cipedak-003","Cipedak 003","Jl. Moh Kahfi II, Persimpangan Jl. Radio, Cipedak",NULL,"DKI JAKARTA",NULL,"JAKARTA SELATAN",NULL,"CIPEDAK",NULL,"JAGAKARSA","106.8130529","-6.34902076","rtsp://cctv.molecool.id:554/Cipedak-003","rtmp://cctv.molecool.id:1935/static/Cipedak-003","https://cctv.molecool.id/Cipedak-003/index.m3u8",NULL,"JAGAKARSA , CIPEDAK , JAKARTA SELATAN , DKI JAKARTA","https://cctv.molecool.id/Cipedak-003/preview.jpg","https://cctv.molecool.id/Cipedak-003/preview.jpg",1,13,"2018-11-21 15:54:21","2022-05-20 04:22:14",NULL
66,"705188","Cipete-Utara-006-705188_3","Cipete Utara-006","Cipete-Utara-001","Cipete Utara 001","Jl. Taman Brawija 3.",NULL,"DKI JAKARTA",NULL,"JAKARTA SELATAN",NULL,"CIPETE UTARA",NULL,"KEBAYORAN BARU","106.8077363","-6.257281145","rtsp://cctv.molecool.id:554/Cipete-Utara-001","rtmp://cctv.molecool.id:1935/static/Cipete-Utara-001","https://cctv.molecool.id/Cipete-Utara-001/index.m3u8",NULL,"KEBAYORAN BARU , CIPETE UTARA , JAKARTA SELATAN , DKI JAKARTA","https://cctv.molecool.id/Cipete-Utara-001/preview.jpg","https://cctv.molecool.id/Cipete-Utara-001/preview.jpg",1,0,"2018-11-21 15:54:21","2019-08-20 07:35:20",NULL
67,"704139","Cipinang-Cempedak-006-704139_3","Cipinang Cempedak-006","Cipinang-Cempedak-001","Cipinang Cempedak 001","Jl. D. I Panjaitan, Samping Halte Penas Kalimalang, Cipinang Cempedak",NULL,"DKI JAKARTA",NULL,"JAKARTA TIMUR",NULL,"CIPINANG CEMPEDAK",NULL,"JATINEGARA","106.877717","-6.239665","rtsp://cctv.molecool.id:554/Cipinang-Cempedak-001","rtmp://cctv.molecool.id:1935/static/Cipinang-Cempedak-001","https://cctv.molecool.id/Cipinang-Cempedak-001/index.m3u8",NULL,"JATINEGARA , CIPINANG CEMPEDAK , JAKARTA TIMUR , DKI JAKARTA","https://cctv.molecool.id/Cipinang-Cempedak-001/preview.jpg","https://cctv.molecool.id/Cipinang-Cempedak-001/preview.jpg",1,1,"2018-11-21 15:54:21","2022-08-08 04:08:01",NULL
